id;hotel_id;room_id;user_id;checkin;checkout;num_of_guests;final_price
1;31557;96105;13776;2023-01-25;2023-01-25;18538;87284
2;10745;43093;25491;2023-01-24;2023-01-25;86845;44635
3;37233;92546;25552;2023-01-24;2023-01-25;14339;75045
4;49702;11608;96711;2023-01-25;2023-01-25;68002;75636
5;64426;98656;90100;2023-01-25;2023-01-24;90651;55098
6;76896;37349;72436;2023-01-25;2023-01-25;34012;81751
7;2272;33705;7630;2023-01-24;2023-01-25;55477;27795
8;56176;71638;74125;2023-01-25;2023-01-24;91106;46497
9;34376;42070;3523;2023-01-24;2023-01-25;11099;98458
10;29391;54448;91871;2023-01-25;2023-01-25;85240;64554
